time,entity,id,station,station_index,line,has_package
0,bus,0,6,0,Line 1,False
0,bus,1,11,5,Line 1,False
0,bus,2,6,0,Line 2,False
0,bus,3,11,5,Line 2,False
1,bus,0,6,0,Line 1,False
1,bus,1,11,5,Line 1,False
1,bus,2,6,0,Line 2,False
1,bus,3,11,5,Line 2,False
5,bus,1,4,4,Line 1,False
5,bus,2,7,1,Line 2,False
6,bus,0,1,1,Line 1,False
6,bus,1,4,4,Line 1,False
6,bus,2,7,1,Line 2,False
6,bus,3,10,4,Line 2,False
7,bus,0,1,1,Line 1,False
7,bus,1,4,4,Line 1,False
7,bus,2,7,1,Line 2,False
7,bus,3,10,4,Line 2,False
8,bus,0,1,1,Line 1,False
8,bus,3,10,4,Line 2,False
9,bus,4,6,0,Line 1,False
9,bus,5,11,5,Line 1,False
9,bus,6,6,0,Line 2,False
9,bus,7,11,5,Line 2,False
10,bus,4,6,0,Line 1,False
10,bus,5,11,5,Line 1,False
10,bus,6,6,0,Line 2,False
10,bus,7,11,5,Line 2,False
11,bus,1,3,3,Line 1,False
11,bus,2,8,2,Line 2,False
11,bus,4,6,0,Line 1,False
11,bus,5,11,5,Line 1,False
11,bus,6,6,0,Line 2,False
11,bus,7,11,5,Line 2,False
12,bus,1,3,3,Line 1,False
12,bus,2,8,2,Line 2,False
13,bus,0,2,2,Line 1,False
13,bus,1,3,3,Line 1,False
13,bus,2,8,2,Line 2,False
13,bus,3,9,3,Line 2,False
14,bus,0,2,2,Line 1,False
14,bus,3,9,3,Line 2,False
15,bus,0,2,2,Line 1,False
15,bus,3,9,3,Line 2,False
15,bus,5,4,4,Line 1,False
15,bus,6,7,1,Line 2,False
16,bus,4,1,1,Line 1,False
16,bus,5,4,4,Line 1,False
16,bus,6,7,1,Line 2,False
16,bus,7,10,4,Line 2,False
17,bus,4,1,1,Line 1,False
17,bus,5,4,4,Line 1,False
17,bus,6,7,1,Line 2,False
17,bus,7,10,4,Line 2,False
18,bus,1,2,2,Line 1,False
18,bus,2,9,3,Line 2,False
18,bus,4,1,1,Line 1,False
18,bus,7,10,4,Line 2,False
19,bus,1,2,2,Line 1,False
19,bus,2,9,3,Line 2,False
19,bus,8,6,0,Line 1,False
19,bus,9,11,5,Line 1,False
19,bus,10,6,0,Line 2,False
19,bus,11,11,5,Line 2,False
20,bus,0,3,3,Line 1,False
20,bus,1,2,2,Line 1,False
20,bus,2,9,3,Line 2,False
20,bus,3,8,2,Line 2,False
20,bus,8,6,0,Line 1,False
20,bus,9,11,5,Line 1,False
20,bus,10,6,0,Line 2,False
20,bus,11,11,5,Line 2,False
21,bus,0,3,3,Line 1,False
21,bus,3,8,2,Line 2,False
21,bus,5,3,3,Line 1,False
21,bus,6,8,2,Line 2,False
21,bus,8,6,0,Line 1,False
21,bus,9,11,5,Line 1,False
21,bus,10,6,0,Line 2,False
21,bus,11,11,5,Line 2,False
22,bus,0,3,3,Line 1,False
22,bus,3,8,2,Line 2,False
22,bus,5,3,3,Line 1,False
22,bus,6,8,2,Line 2,False
23,bus,4,2,2,Line 1,False
23,bus,5,3,3,Line 1,False
23,bus,6,8,2,Line 2,False
23,bus,7,9,3,Line 2,False
24,bus,4,2,2,Line 1,False
24,bus,7,9,3,Line 2,False
25,bus,1,1,1,Line 1,False
25,bus,2,10,4,Line 2,False
25,bus,4,2,2,Line 1,False
25,bus,7,9,3,Line 2,False
25,bus,9,4,4,Line 1,False
25,bus,10,7,1,Line 2,False
26,bus,0,4,4,Line 1,False
26,bus,1,1,1,Line 1,False
26,bus,2,10,4,Line 2,False
26,bus,3,7,1,Line 2,False
26,bus,8,1,1,Line 1,False
26,bus,9,4,4,Line 1,False
26,bus,10,7,1,Line 2,False
26,bus,11,10,4,Line 2,False
27,bus,0,4,4,Line 1,False
27,bus,1,1,1,Line 1,False
27,bus,2,10,4,Line 2,False
27,bus,3,7,1,Line 2,False
27,bus,8,1,1,Line 1,False
27,bus,9,4,4,Line 1,False
