time,package_id,task_id,status,x,y
0,0,0,at_pickup_point,50.0,35.0
0,1,1,at_pickup_point,35.0,17.0
0,2,2,at_pickup_point,45.0,20.0
0,3,3,at_pickup_point,15.0,30.0
0,4,4,at_pickup_point,47.0,16.0
0,5,5,at_pickup_point,15.0,47.0
0,6,6,at_pickup_point,64.0,42.0
0,7,7,at_pickup_point,15.0,10.0
0,8,8,at_pickup_point,27.0,69.0
0,9,9,at_pickup_point,62.0,77.0
0,10,10,at_pickup_point,15.0,60.0
0,11,11,at_pickup_point,10.0,20.0
0,12,12,at_pickup_point,12.0,24.0
0,13,13,at_pickup_point,44.0,17.0
0,14,14,at_pickup_point,26.0,27.0
0,15,15,at_pickup_point,13.0,52.0
0,16,16,at_pickup_point,20.0,65.0
0,17,17,at_pickup_point,4.0,18.0
0,18,18,at_pickup_point,32.0,12.0
0,19,19,at_pickup_point,65.0,55.0
0,20,20,at_pickup_point,47.0,47.0
0,21,21,at_pickup_point,55.0,45.0
0,22,22,at_pickup_point,67.0,5.0
0,23,23,at_pickup_point,40.0,25.0
0,24,24,at_pickup_point,61.0,52.0
0,25,25,at_pickup_point,45.0,30.0
0,26,26,at_pickup_point,20.0,20.0
0,27,27,at_pickup_point,22.0,27.0
0,28,28,at_pickup_point,45.0,10.0
0,29,29,at_pickup_point,25.0,30.0
0,30,30,at_pickup_point,10.0,43.0
0,31,31,at_pickup_point,55.0,60.0
0,32,32,at_pickup_point,26.0,35.0
0,33,33,at_pickup_point,45.0,65.0
0,34,34,at_pickup_point,11.0,31.0
0,35,35,at_pickup_point,65.0,35.0
0,36,36,at_pickup_point,6.0,68.0
0,37,37,at_pickup_point,17.0,34.0
0,38,38,at_pickup_point,23.0,3.0
0,39,39,at_pickup_point,35.0,69.0
0,40,40,at_pickup_point,56.0,39.0
0,41,41,at_pickup_point,63.0,23.0
0,42,42,at_pickup_point,63.0,65.0
0,43,43,at_pickup_point,37.0,56.0
0,44,44,at_pickup_point,30.0,25.0
0,45,45,at_pickup_point,53.0,43.0
0,46,46,at_pickup_point,18.0,18.0
0,47,47,at_pickup_point,65.0,20.0
1,0,0,at_pickup_point,50.0,35.0
1,1,1,at_pickup_point,35.0,17.0
1,2,2,at_pickup_point,45.0,20.0
1,3,3,at_pickup_point,15.0,30.0
1,4,4,at_pickup_point,47.0,16.0
1,5,5,at_pickup_point,15.0,47.0
1,6,6,at_pickup_point,64.0,42.0
1,7,7,at_pickup_point,15.0,10.0
1,8,8,at_pickup_point,27.0,69.0
1,9,9,at_pickup_point,62.0,77.0
1,10,10,at_pickup_point,15.0,60.0
1,11,11,at_pickup_point,10.0,20.0
1,12,12,at_pickup_point,12.0,24.0
1,13,13,at_pickup_point,44.0,17.0
1,14,14,at_pickup_point,26.0,27.0
1,15,15,at_pickup_point,13.0,52.0
1,16,16,at_pickup_point,20.0,65.0
1,17,17,at_pickup_point,4.0,18.0
1,18,18,at_pickup_point,32.0,12.0
1,19,19,at_pickup_point,65.0,55.0
1,20,20,at_pickup_point,47.0,47.0
1,21,21,at_pickup_point,55.0,45.0
1,22,22,at_pickup_point,67.0,5.0
1,23,23,at_pickup_point,40.0,25.0
1,24,24,at_pickup_point,61.0,52.0
1,25,25,at_pickup_point,45.0,30.0
1,26,26,at_pickup_point,20.0,20.0
1,27,27,at_pickup_point,22.0,27.0
1,28,28,at_pickup_point,45.0,10.0
1,29,29,at_pickup_point,25.0,30.0
1,30,30,at_pickup_point,10.0,43.0
1,31,31,at_pickup_point,55.0,60.0
1,32,32,at_pickup_point,26.0,35.0
1,33,33,at_pickup_point,45.0,65.0
1,34,34,at_pickup_point,11.0,31.0
1,35,35,at_pickup_point,65.0,35.0
1,36,36,at_pickup_point,6.0,68.0
1,37,37,at_pickup_point,17.0,34.0
1,38,38,at_pickup_point,23.0,3.0
1,39,39,at_pickup_point,35.0,69.0
1,40,40,at_pickup_point,56.0,39.0
1,41,41,at_pickup_point,63.0,23.0
1,42,42,at_pickup_point,63.0,65.0
1,43,43,at_pickup_point,37.0,56.0
1,44,44,at_pickup_point,30.0,25.0
1,45,45,at_pickup_point,53.0,43.0
1,46,46,at_pickup_point,18.0,18.0
1,47,47,at_pickup_point,65.0,20.0
2,0,0,at_pickup_point,50.0,35.0
2,1,1,at_pickup_point,35.0,17.0
