allow_cross_region,task_queue_threshold,max_future_tasks,completed_tasks,total_distance,total_completion_time,delivery_tasks,pickup_tasks
False,3,2,96,1855.8455037422852,0,48,48
False,3,3,96,1855.8455037422852,0,48,48
False,3,4,96,1855.8455037422852,0,48,48
False,3,5,96,1855.8455037422852,0,48,48
False,4,2,96,1829.3672515901137,0,48,48
False,4,3,96,1829.3672515901137,0,48,48
False,4,4,96,1829.3672515901137,0,48,48
False,4,5,96,1829.3672515901137,0,48,48
False,5,2,89,1748.7573291625365,0,42,47
False,5,3,96,1809.7979101086755,0,48,48
False,5,4,96,1793.6867463659062,0,48,48
False,5,5,96,1842.6463325588622,0,48,48
False,6,2,96,1800.688402318118,0,48,48
False,6,3,96,1805.9733617192976,0,48,48
False,6,4,96,1780.62569127121,0,48,48
False,6,5,96,1781.7202324788143,0,48,48
False,7,2,96,1805.8567794206745,0,48,48
False,7,3,96,1805.9733617192976,0,48,48
False,7,4,96,1772.4752640882436,0,48,48
False,7,5,96,1793.1679890908592,0,48,48
False,8,2,96,1808.8388295010843,0,48,48
False,8,3,96,1819.7572792190147,0,48,48
False,8,4,96,1797.0552579780149,0,48,48
False,8,5,96,1792.733305721252,0,48,48
True,3,2,95,2776.5849473897156,0,47,48
True,3,3,95,3078.8327001829884,0,47,48
True,3,4,96,2930.104159188811,0,48,48
True,3,5,96,2930.104159188811,0,48,48
True,4,2,96,2930.104159188811,0,48,48
True,4,3,96,2930.104159188811,0,48,48
True,4,4,96,2930.104159188811,0,48,48
True,4,5,96,2930.104159188811,0,48,48
True,5,2,96,2930.104159188811,0,48,48
True,5,3,96,2930.104159188811,0,48,48
True,5,4,96,2930.104159188811,0,48,48
True,5,5,96,2930.104159188811,0,48,48
True,6,2,96,2930.104159188811,0,48,48
True,6,3,96,2930.104159188811,0,48,48
True,6,4,96,2930.104159188811,0,48,48
True,6,5,96,2930.104159188811,0,48,48
True,7,2,96,2930.104159188811,0,48,48
True,7,3,96,2930.104159188811,0,48,48
True,7,4,96,2930.104159188811,0,48,48
True,7,5,96,2930.104159188811,0,48,48
True,8,2,96,2930.104159188811,0,48,48
True,8,3,96,2930.104159188811,0,48,48
True,8,4,96,2930.104159188811,0,48,48
True,8,5,96,2930.104159188811,0,48,48
