time,entity,id,x,y,status,battery,direction
0,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
0,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
0,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
0,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
0,bus,0,15.0,0.0,at_station,,1.0
0,bus,1,65.0,60.0,at_station,,-1.0
0,bus,2,0.0,15.0,at_station,,1.0
0,bus,3,50.0,75.0,at_station,,-1.0
1,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
1,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
1,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
1,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
1,bus,0,15.0,0.0,at_station,,1.0
1,bus,1,65.0,60.0,at_station,,-1.0
1,bus,2,0.0,15.0,at_station,,1.0
1,bus,3,50.0,75.0,at_station,,-1.0
2,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
2,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
2,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
2,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
2,bus,0,15.0,2.5,moving,,1.0
2,bus,1,62.5,60.0,moving,,-1.0
2,bus,2,2.5,15.0,moving,,1.0
2,bus,3,50.0,72.5,moving,,-1.0
3,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
3,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
3,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
3,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
3,bus,0,15.0,7.5,moving,,1.0
3,bus,1,57.5,60.0,moving,,-1.0
3,bus,2,7.5,15.0,moving,,1.0
3,bus,3,50.0,67.5,moving,,-1.0
4,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
4,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
4,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
4,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
4,bus,0,15.0,10.0,at_station,,1.0
4,bus,1,55.0,60.0,at_station,,-1.0
4,bus,2,10.0,15.0,at_station,,1.0
4,bus,3,50.0,65.0,at_station,,-1.0
5,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
5,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
5,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
5,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
5,bus,0,15.0,10.0,at_station,,1.0
5,bus,1,55.0,60.0,at_station,,-1.0
5,bus,2,10.0,15.0,at_station,,1.0
5,bus,3,50.0,65.0,at_station,,-1.0
6,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
6,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
6,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
6,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
6,bus,0,15.0,10.0,at_station,,1.0
6,bus,1,55.0,60.0,at_station,,-1.0
6,bus,2,10.0,15.0,at_station,,1.0
6,bus,3,50.0,65.0,at_station,,-1.0
7,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
7,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
7,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
7,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
7,bus,0,15.0,12.5,moving,,1.0
7,bus,1,52.5,60.0,moving,,-1.0
7,bus,2,12.5,15.0,moving,,1.0
7,bus,3,50.0,62.5,moving,,-1.0
8,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
8,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
8,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
8,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
8,bus,0,15.0,17.5,moving,,1.0
8,bus,1,47.5,60.0,moving,,-1.0
8,bus,2,17.5,15.0,moving,,1.0
8,bus,3,50.0,57.5,moving,,-1.0
9,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
9,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
9,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
9,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
9,bus,0,15.0,20.0,at_station,,1.0
9,bus,1,45.0,60.0,at_station,,-1.0
9,bus,2,20.0,15.0,at_station,,1.0
9,bus,3,50.0,55.0,at_station,,-1.0
9,bus,4,15.0,0.0,at_station,,1.0
9,bus,5,65.0,60.0,at_station,,-1.0
9,bus,6,0.0,15.0,at_station,,1.0
9,bus,7,50.0,75.0,at_station,,-1.0
10,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
10,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
10,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
10,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
10,bus,0,15.0,20.0,at_station,,1.0
10,bus,1,45.0,60.0,at_station,,-1.0
10,bus,2,20.0,15.0,at_station,,1.0
10,bus,3,50.0,55.0,at_station,,-1.0
10,bus,4,15.0,0.0,at_station,,1.0
10,bus,5,65.0,60.0,at_station,,-1.0
10,bus,6,0.0,15.0,at_station,,1.0
10,bus,7,50.0,75.0,at_station,,-1.0
11,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
11,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
11,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
11,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
11,bus,0,15.0,20.0,at_station,,1.0
11,bus,1,45.0,60.0,at_station,,-1.0
11,bus,2,20.0,15.0,at_station,,1.0
11,bus,3,50.0,55.0,at_station,,-1.0
11,bus,4,15.0,0.0,at_station,,1.0
11,bus,5,65.0,60.0,at_station,,-1.0
11,bus,6,0.0,15.0,at_station,,1.0
11,bus,7,50.0,75.0,at_station,,-1.0
12,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
12,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
12,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
12,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
12,bus,0,15.0,22.5,moving,,1.0
12,bus,1,42.5,60.0,moving,,-1.0
12,bus,2,22.5,15.0,moving,,1.0
12,bus,3,50.0,52.5,moving,,-1.0
12,bus,4,15.0,2.5,moving,,1.0
12,bus,5,62.5,60.0,moving,,-1.0
12,bus,6,2.5,15.0,moving,,1.0
12,bus,7,50.0,72.5,moving,,-1.0
13,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
13,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
13,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
13,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
13,bus,0,15.0,27.5,moving,,1.0
13,bus,1,37.5,60.0,moving,,-1.0
13,bus,2,27.5,15.0,moving,,1.0
13,bus,3,50.0,47.5,moving,,-1.0
13,bus,4,15.0,7.5,moving,,1.0
13,bus,5,57.5,60.0,moving,,-1.0
13,bus,6,7.5,15.0,moving,,1.0
13,bus,7,50.0,67.5,moving,,-1.0
14,drone,0,18.137982195845666,22.93471810089019,idle,300.0,
14,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
14,drone,2,48.45833333333332,17.180555555555543,idle,300.0,
14,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
14,bus,0,15.0,30.0,at_station,,1.0
14,bus,1,35.0,60.0,at_station,,-1.0
14,bus,2,30.0,15.0,at_station,,1.0
14,bus,3,50.0,45.0,at_station,,-1.0
14,bus,4,15.0,10.0,at_station,,1.0
14,bus,5,55.0,60.0,at_station,,-1.0
14,bus,6,10.0,15.0,at_station,,1.0
14,bus,7,50.0,65.0,at_station,,-1.0
15,drone,0,19.280286902792657,18.066952704274744,moving_to_bus_station_for_delivery,295.0,
15,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
15,drone,2,48.88930332282581,22.161947416085773,moving_to_pickup,295.0,
15,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
15,bus,0,15.0,30.0,at_station,,1.0
15,bus,1,35.0,60.0,at_station,,-1.0
15,bus,2,30.0,15.0,at_station,,1.0
15,bus,3,50.0,45.0,at_station,,-1.0
15,bus,4,15.0,10.0,at_station,,1.0
15,bus,5,55.0,60.0,at_station,,-1.0
15,bus,6,10.0,15.0,at_station,,1.0
15,bus,7,50.0,65.0,at_station,,-1.0
16,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,291.8497324188968,
16,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
16,drone,2,49.32027331231829,27.143339276616004,moving_to_pickup,290.0,
16,drone,3,18.800511508951395,57.70588235294116,idle,300.0,
16,bus,0,15.0,30.0,at_station,,1.0
16,bus,1,35.0,60.0,at_station,,-1.0
16,bus,2,30.0,15.0,at_station,,1.0
16,bus,3,50.0,45.0,at_station,,-1.0
16,bus,4,15.0,10.0,at_station,,1.0
16,bus,5,55.0,60.0,at_station,,-1.0
16,bus,6,10.0,15.0,at_station,,1.0
16,bus,7,50.0,65.0,at_station,,-1.0
17,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,291.8497324188968,
17,drone,1,51.71095152603229,51.098743267504474,idle,300.0,
17,drone,2,49.75124330181078,32.124731137146235,moving_to_pickup,285.0,
