num_tasks,Penalty,direct_transport,bus_transport,num_drones
5,0,1,4,5
5,5,3,2,3
5,10,4,1,2
5,15,4,1,2
5,20,5,0,1
5,25,5,0,1
10,0,3,7,7
10,5,6,4,5
10,10,8,2,3
10,15,8,2,3
10,20,9,1,2
10,25,10,0,1
15,0,5,10,7
15,5,8,7,5
15,10,12,3,3
15,15,12,3,3
15,20,14,1,2
15,25,15,0,1
20,0,6,14,7
20,5,10,10,5
20,10,16,4,3
20,15,16,4,3
20,20,18,2,2
20,25,19,1,2
25,0,7,18,7
25,5,11,14,5
25,10,17,8,5
25,15,17,8,5
25,20,21,4,3
25,25,23,2,2
30,0,8,22,7
30,5,12,18,5
30,10,18,12,5
30,15,21,9,5
30,20,25,5,3
30,25,27,3,3
35,0,11,24,7
35,5,15,20,5
35,10,21,14,5
35,15,24,11,5
35,20,28,7,3
35,25,31,4,3
40,0,12,28,7
40,5,17,23,5
40,10,24,16,5
40,15,28,12,5
40,20,32,8,3
40,25,36,4,3
45,0,16,29,7
45,5,21,24,5
45,10,28,17,5
45,15,32,13,5
45,20,36,9,3
45,25,40,5,3
48,0,17,31,7
48,5,22,26,5
48,10,29,19,5
48,15,33,15,5
48,20,37,11,4
48,25,41,7,4
