time,entity,id,station,station_index,line,has_package
0,bus,0,0,0,Line 1,False
0,bus,1,11,11,Line 1,False
0,bus,2,12,0,Line 2,False
0,bus,3,23,11,Line 2,False
1,bus,0,0,0,Line 1,False
1,bus,1,11,11,Line 1,False
1,bus,2,12,0,Line 2,False
1,bus,3,23,11,Line 2,False
4,bus,0,1,1,Line 1,False
4,bus,1,10,10,Line 1,False
4,bus,2,13,1,Line 2,False
4,bus,3,22,10,Line 2,False
5,bus,0,1,1,Line 1,False
5,bus,1,10,10,Line 1,False
5,bus,2,13,1,Line 2,False
5,bus,3,22,10,Line 2,False
6,bus,0,1,1,Line 1,False
6,bus,1,10,10,Line 1,False
6,bus,2,13,1,Line 2,False
6,bus,3,22,10,Line 2,False
9,bus,0,2,2,Line 1,False
9,bus,1,9,9,Line 1,False
9,bus,2,14,2,Line 2,False
9,bus,3,21,9,Line 2,False
9,bus,4,0,0,Line 1,False
9,bus,5,11,11,Line 1,False
9,bus,6,12,0,Line 2,False
9,bus,7,23,11,Line 2,False
10,bus,0,2,2,Line 1,False
10,bus,1,9,9,Line 1,False
10,bus,2,14,2,Line 2,False
10,bus,3,21,9,Line 2,False
10,bus,4,0,0,Line 1,False
10,bus,5,11,11,Line 1,False
10,bus,6,12,0,Line 2,False
10,bus,7,23,11,Line 2,False
11,bus,0,2,2,Line 1,False
11,bus,1,9,9,Line 1,False
11,bus,2,14,2,Line 2,False
11,bus,3,21,9,Line 2,False
11,bus,4,0,0,Line 1,False
11,bus,5,11,11,Line 1,False
11,bus,6,12,0,Line 2,False
11,bus,7,23,11,Line 2,False
14,bus,0,3,3,Line 1,False
14,bus,1,8,8,Line 1,False
14,bus,2,15,3,Line 2,False
14,bus,3,20,8,Line 2,False
14,bus,4,1,1,Line 1,False
14,bus,5,10,10,Line 1,False
14,bus,6,13,1,Line 2,False
14,bus,7,22,10,Line 2,False
15,bus,0,3,3,Line 1,False
15,bus,1,8,8,Line 1,False
15,bus,2,15,3,Line 2,False
15,bus,3,20,8,Line 2,False
15,bus,4,1,1,Line 1,False
15,bus,5,10,10,Line 1,False
15,bus,6,13,1,Line 2,False
15,bus,7,22,10,Line 2,False
16,bus,0,3,3,Line 1,False
16,bus,1,8,8,Line 1,False
16,bus,2,15,3,Line 2,False
16,bus,3,20,8,Line 2,False
