experiment_id,allow_cross_region,drone_count,total_tasks,completed_delivery_tasks,completed_pickup_tasks,total_completed_tasks,completion_rate,simulation_time_seconds,simulation_file,bus_file,package_file,timestamp,region_global_tasks,region_global_delivery,region_global_pickup
1,True,4,48,47,47,94,195.83333333333331,0.4309089183807373,simulation_results_20250523_163749/exp_01_cross_drone4_simulation.csv,simulation_results_20250523_163749/exp_01_cross_drone4_bus.csv,simulation_results_20250523_163749/exp_01_cross_drone4_package.csv,2025-05-23 16:37:49,94,47,47
2,True,5,48,48,48,96,200.0,0.4210081100463867,simulation_results_20250523_163749/exp_02_cross_drone5_simulation.csv,simulation_results_20250523_163749/exp_02_cross_drone5_bus.csv,simulation_results_20250523_163749/exp_02_cross_drone5_package.csv,2025-05-23 16:37:50,96,48,48
3,True,6,48,48,48,96,200.0,0.42467212677001953,simulation_results_20250523_163749/exp_03_cross_drone6_simulation.csv,simulation_results_20250523_163749/exp_03_cross_drone6_bus.csv,simulation_results_20250523_163749/exp_03_cross_drone6_package.csv,2025-05-23 16:37:50,96,48,48
4,True,7,48,48,48,96,200.0,0.42768096923828125,simulation_results_20250523_163749/exp_04_cross_drone7_simulation.csv,simulation_results_20250523_163749/exp_04_cross_drone7_bus.csv,simulation_results_20250523_163749/exp_04_cross_drone7_package.csv,2025-05-23 16:37:51,96,48,48
5,True,8,48,48,48,96,200.0,0.433643102645874,simulation_results_20250523_163749/exp_05_cross_drone8_simulation.csv,simulation_results_20250523_163749/exp_05_cross_drone8_bus.csv,simulation_results_20250523_163749/exp_05_cross_drone8_package.csv,2025-05-23 16:37:51,96,48,48
6,True,9,48,48,48,96,200.0,0.4372410774230957,simulation_results_20250523_163749/exp_06_cross_drone9_simulation.csv,simulation_results_20250523_163749/exp_06_cross_drone9_bus.csv,simulation_results_20250523_163749/exp_06_cross_drone9_package.csv,2025-05-23 16:37:52,96,48,48
7,True,10,48,48,48,96,200.0,0.44066286087036133,simulation_results_20250523_163749/exp_07_cross_drone10_simulation.csv,simulation_results_20250523_163749/exp_07_cross_drone10_bus.csv,simulation_results_20250523_163749/exp_07_cross_drone10_package.csv,2025-05-23 16:37:52,96,48,48
8,False,4,48,47,47,94,195.83333333333331,0.41727328300476074,simulation_results_20250523_163749/exp_08_nocross_drone4_simulation.csv,simulation_results_20250523_163749/exp_08_nocross_drone4_bus.csv,simulation_results_20250523_163749/exp_08_nocross_drone4_package.csv,2025-05-23 16:37:52,94,47,47
9,False,5,48,48,48,96,200.0,0.4281949996948242,simulation_results_20250523_163749/exp_09_nocross_drone5_simulation.csv,simulation_results_20250523_163749/exp_09_nocross_drone5_bus.csv,simulation_results_20250523_163749/exp_09_nocross_drone5_package.csv,2025-05-23 16:37:53,96,48,48
10,False,6,48,48,48,96,200.0,0.428102970123291,simulation_results_20250523_163749/exp_10_nocross_drone6_simulation.csv,simulation_results_20250523_163749/exp_10_nocross_drone6_bus.csv,simulation_results_20250523_163749/exp_10_nocross_drone6_package.csv,2025-05-23 16:37:53,96,48,48
11,False,7,48,48,48,96,200.0,0.5006358623504639,simulation_results_20250523_163749/exp_11_nocross_drone7_simulation.csv,simulation_results_20250523_163749/exp_11_nocross_drone7_bus.csv,simulation_results_20250523_163749/exp_11_nocross_drone7_package.csv,2025-05-23 16:37:54,96,48,48
12,False,8,48,48,48,96,200.0,0.4587230682373047,simulation_results_20250523_163749/exp_12_nocross_drone8_simulation.csv,simulation_results_20250523_163749/exp_12_nocross_drone8_bus.csv,simulation_results_20250523_163749/exp_12_nocross_drone8_package.csv,2025-05-23 16:37:54,96,48,48
13,False,9,48,48,48,96,200.0,0.45104479789733887,simulation_results_20250523_163749/exp_13_nocross_drone9_simulation.csv,simulation_results_20250523_163749/exp_13_nocross_drone9_bus.csv,simulation_results_20250523_163749/exp_13_nocross_drone9_package.csv,2025-05-23 16:37:55,96,48,48
14,False,10,48,48,48,96,200.0,0.4441871643066406,simulation_results_20250523_163749/exp_14_nocross_drone10_simulation.csv,simulation_results_20250523_163749/exp_14_nocross_drone10_bus.csv,simulation_results_20250523_163749/exp_14_nocross_drone10_package.csv,2025-05-23 16:37:55,96,48,48
